Source	Target
1	21
1	9
1	12
1	37
1	31
1	20
1	24
1	18
1	13
1	34
1	32
1	5
1	38
1	23
1	35
1	39
1	30
1	19
1	10
1	3
1	25
1	4
1	27
1	22
1	26
1	28
1	0
1	14
1	15
1	16
1	11
1	33
1	29
1	17
1	2
1	6
1	36
1	8
1	7
13	25
13	22
13	3
13	9
13	12
13	0
13	10
13	4
13	27
32	31
32	25
32	20
32	16
32	24
32	35
32	22
32	0
32	34
32	26
32	17
32	3
32	12
32	21
32	9
32	4
32	38
32	7
32	27
35	20
35	10
35	12
35	9
35	27
15	24
15	12
15	0
15	5
15	34
15	21
15	17
15	9
15	26
16	27
16	22
16	12
16	2
16	10
16	28
16	3
16	9
11	25
11	2
11	26
11	3
11	12
11	9
11	0
11	10
11	29
11	4
11	19
11	27
14	33
14	5
14	23
14	3
14	9
14	8
14	4
7	22
7	2
7	3
7	9
7	12
7	25
7	10
7	4
7	27
9	25
9	24
9	29
9	22
9	5
9	34
9	2
9	23
9	17
9	28
9	21
9	0
9	3
9	12
9	38
9	37
9	6
9	20
9	30
9	10
9	18
9	8
9	26
9	19
37	2
37	3
37	18
37	12
37	0
37	27
20	25
20	0
20	30
20	10
20	12
20	27
18	10
18	0
18	26
18	3
18	12
18	4
18	27
24	0
24	34
24	17
24	3
24	12
24	10
24	27
4	36
4	29
4	2
4	26
4	17
4	3
4	12
4	39
4	38
4	25
4	31
4	5
4	30
4	23
4	0
4	10
4	8
4	19
4	27
22	0
22	5
22	2
22	26
22	23
22	17
22	28
22	3
22	12
22	19
22	38
33	25
33	3
33	12
33	27
3	27
3	36
3	26
3	23
3	28
3	21
3	12
3	38
3	39
3	31
3	10
3	0
3	8
3	19
3	25
3	29
3	34
3	2
3	5
3	6
3	30
3	17
12	25
12	5
12	2
12	26
12	23
12	17
12	28
12	6
12	31
12	0
12	10
12	30
12	21
12	8
12	19
12	27
34	17
34	0
34	19
34	10
34	27
39	10
39	27
39	0
39	30
39	29
39	19
30	25
30	0
30	10
30	28
21	10
21	27
27	36
27	0
27	29
27	8
27	5
27	2
27	26
27	23
27	10
27	17
27	28
27	6
27	19
27	38
23	31
23	25
23	29
23	10
28	0
28	2
28	8
28	38
28	17
25	6
25	36
25	29
25	0
25	2
25	10
25	19
25	17
25	5
25	26
25	8
25	38
17	38
17	10
2	36
2	0
2	19
2	6
2	29
2	10
31	0
31	10
31	19
0	8
0	19
0	10
0	5
19	6
19	29
19	10
19	5
36	10
36	29
29	10
26	10
38	10
8	10
6	5
10	5
