Key,Date,Volume,Disc,max_T,min_T,avg_T,precipitation,Consumer_Price_Index_month,Exchange_Rate_Index_Period_Average_month,Exchange_Rate_LCU_per_US_Period_Average_month,Industrial_Production_Index_month,Wholesale_Producer_Price_Index_LCU_basus_month,Nominal_Consumption_Total_lcu_quarter,Nominal_Consumption_Total_US_quarter,Nominal_GDP_lcu_quarter,Nominal_GDP_US_quarter,Nominal_Private_Consumption_lcu_quarter,Nominal_Private_Consumption_US_quarter,Real_Consumption_Total_lcu_quarter,Real_Consumption_Total_US_quarter,Real_GDP_lcu_quarter,Real_GDP_US_quarter,Real_Private_Consumption_lcu_quarter,Real_Private_Consumption_US_quarter,Unemployment_Rate_quarter,Disposable_Personal_Income_lcu_annual,Disposable_personal_income_real_lcu_annual,Disposable_Personal_Income_US_annual,Employment_Total_annual,Index_Unit_Labor_Costs_LCU_basis_annual,Index_Unit_Labor_Costs_US_basis_annual,Index_wages_straight_time_LCU_basis_annual,Index_wages_straight_time_US_basis_annual,Nominal_GDP_per_employee_annual,Nominal_Consumption_Per_Capita_US_annual,Nominal_GDP_Per_Capita_lcu_annual,Nominal_Indirect_Taxes_Minus_Subsidies_lcu_annual,Nominal_Indirect_Taxes_Minus_Subsidies_US_annual,Number_of_households_annual,Participation_Rate_annual,Population_Age_Bracket_15_64_annual,Population_Total_annual,Population_Urban_annual,Price_of_Crude_Oil_LCU_basis_annual,Real_GDP_Per_Capita_lcu_annual,Real_Indirect_Taxes_Minus_Subsidies_lcu_annual,Real_Price_of_Crude_Oil_LCU_basis_annual,Real_Price_of_Crude_Oil_US_basis_annual,Share_of_Population_Urban_annual,Tax_Rate_Overall_Taxes_annual,Tax_Rate_Personal_Income_Taxes_annual,Terms_of_Trade_annual,Unemployment_annual,Wages_and_Salaries_Gross_lcu_annual,Wages_and_Salaries_Gross_US_annual,Working_Age_Population_annual,Index_Retail_Sales_Real_month,Real_GDP_at_Factor_Cost_Services_lcu_annual,PMI,Inflation_Rate,Selling_days_ratio,Selling_days,Selling_days_Quarter,Selling_days_Half,Selling_days_9,Selling_days_17,Holidays,Holidays_9,Holidays_17,Sales_Package,Marketing_Package,Month,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,Growth_rate
A,2014-01-01T00:00:00Z,1346973.89,428612770.37,49.5088937081117,29.6763222312204,39.59147003725,0.448205979312696,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.5,2.5,0.774193548387097,24,69,142,24,24,7,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
B,2014-01-01T00:00:00Z,677825.87,116068751.12,49.5088937081117,29.6763222312204,39.59147003725,0.448205979312696,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.5,2.5,0.774193548387097,24,69,142,24,24,7,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
C,2014-01-01T00:00:00Z,1210358.5,103539735.85,49.5088937081117,29.6763222312204,39.59147003725,0.448205979312696,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.5,2.5,0.774193548387097,24,69,142,24,24,7,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D,2014-01-01T00:00:00Z,436760.72,56283104.59,49.5088937081117,29.6763222312204,39.59147003725,0.448205979312696,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.5,2.5,0.774193548387097,24,69,142,24,24,7,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
E,2014-01-01T00:00:00Z,433.99,294406.71,49.5088937081117,29.6763222312204,39.59147003725,0.448205979312696,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.5,2.5,0.774193548387097,24,69,142,24,24,7,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
F,2014-01-01T00:00:00Z,1229415.43,91938575.5,49.5088937081117,29.6763222312204,39.59147003725,0.448205979312696,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.5,2.5,0.774193548387097,24,69,142,24,24,7,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
G,2014-01-01T00:00:00Z,790802.060000002,36034987.6,49.5088937081117,29.6763222312204,39.59147003725,0.448205979312696,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.5,2.5,0.774193548387097,24,69,142,24,24,7,7,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A,2014-02-01T00:00:00Z,1058681.45,347588757.53,46.3284222246624,31.8478120666659,39.0868650069761,1.7418931820229,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.2,2,0.678571428571429,19,69,142,19,19,9,9,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
B,2014-02-01T00:00:00Z,442604.98,88415257.2800002,46.3284222246624,31.8478120666659,39.0868650069761,1.7418931820229,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.2,2,0.678571428571429,19,69,142,19,19,9,9,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
C,2014-02-01T00:00:00Z,829241.950000001,71013975.2899999,46.3284222246624,31.8478120666659,39.0868650069761,1.7418931820229,85.4585,108.6444,6.8277,58.7934,103.0408,31627.877,5183.0343,62380.2587,10222.5964,23321.1509,3821.7654,27117.63,5178.1513,54870.5712,9972.8685,19994.9538,3818.0658,3.0107,28843.8538,24499.9847,4681.312,772.53,100.8679,102.8811,90.7022,92.5125,13520.4168,2812.7981,45986.7288,0,0,431.9978,0.7087,1020.1913,1399.454,759.3297,615.1156,40268.3379,0,538.6267,97.8968,54.259,17.4916,0.1194,92.8034,24.37,57361,9309.5998,1020.1913,55.4772,25253.0512,50.2,2,0.678571428571429,19,69,142,19,19,9,9,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
